GivenName,Surname,SamAccountName,UserPrincipalName,AccountPassword,OU,DisplayName,Name,Description,Department,Country,City,State,PostalCode,MobilePhone,EmailAddress
"Unai","Serrano Villanueva",userranov,userranov@polideportivolizarreria.eu,qy=FBwd48U,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Unai Serrano Villanueva","Unai Serrano Villanueva",Adultos,,ES,Estella,Navarra,31200,751687693,userranov@gmail.com
"Elías","Cartero Castellanos",ecarteroc,ecarteroc@polideportivolizarreria.eu,E4YHtZJM-7,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Elías Cartero Castellanos","Elías Cartero Castellanos",Menores,,ES,Estella,Navarra,31200,678929546,ecarteroc@gmail.com
"Luciano","Morcillo López",lmorcillol,lmorcillol@polideportivolizarreria.eu,h*xe4$S?2&,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Luciano Morcillo López","Luciano Morcillo López",Adultos,,ES,Estella,Navarra,31200,690720127,lmorcillol@gmail.com
"Patricia","Tejero Giménez",ptejerog,ptejerog@polideportivolizarreria.eu,K8Sz_wA+WG,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Patricia Tejero Giménez","Patricia Tejero Giménez",Menores,,ES,Estella,Navarra,31200,751811649,ptejerog@gmail.com
"Amaia","Sevilla Doménech",asevillad,asevillad@polideportivolizarreria.eu,8JM?qQw938,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Amaia Sevilla Doménech","Amaia Sevilla Doménech",Adultos,,ES,Estella,Navarra,31200,621126751,asevillad@gmail.com
"Leire","Caro Calvo",lcaroc,lcaroc@polideportivolizarreria.eu,uFz8-@DgWe,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Leire Caro Calvo","Leire Caro Calvo",Menores,,ES,Estella,Navarra,31200,674180525,lcaroc@gmail.com
"Esther","Navarrete Barroso",enavarreteb,enavarreteb@polideportivolizarreria.eu,R=39fkr#uP,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Esther Navarrete Barroso","Esther Navarrete Barroso",Adultos,,ES,Estella,Navarra,31200,610561778,enavarreteb@gmail.com
"Desirée","Figueroa Avilés",dfigueroaa,dfigueroaa@polideportivolizarreria.eu,MeM3yZ&jWJ,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Desirée Figueroa Avilés","Desirée Figueroa Avilés",Menores,,ES,Estella,Navarra,31200,700970554,dfigueroaa@gmail.com
"Elisa","Alfonso Olmo",ealfonsoo,ealfonsoo@polideportivolizarreria.eu,zMd7wPFvL$,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Elisa Alfonso Olmo","Elisa Alfonso Olmo",Administración,Administración,ES,Estella,Navarra,31200,669601669,ealfonsoo@gmail.com
"Vanessa","Silva Vicente",vsilvav,vsilvav@polideportivolizarreria.eu,RwQvG$6qm&,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Vanessa Silva Vicente","Vanessa Silva Vicente",Administración,Administración,ES,Estella,Navarra,31200,764339199,vsilvav@gmail.com
"Xabier","Marcos Marques",xmarcosm,xmarcosm@polideportivolizarreria.eu,nD!^32CD2x,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Xabier Marcos Marques","Xabier Marcos Marques",Administración,Administración,ES,Estella,Navarra,31200,724346837,xmarcosm@gmail.com
"Inés","Belmonte Moral",ibelmontem,ibelmontem@polideportivolizarreria.eu,Sn6hKND!3W,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Inés Belmonte Moral","Inés Belmonte Moral",Contabilidad,Contabilidad,ES,Estella,Navarra,31200,797289817,ibelmontem@gmail.com
"Natalia","Navarrete Carrión",nnavarretec,nnavarretec@polideportivolizarreria.eu,HAK59c+y_u,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Natalia Navarrete Carrión","Natalia Navarrete Carrión",Contabilidad,Contabilidad,ES,Estella,Navarra,31200,661883191,nnavarretec@gmail.com
"Félix","Lorenzo Páez",florenzop,florenzop@polideportivolizarreria.eu,exYB8fSA@@,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Félix Lorenzo Páez","Félix Lorenzo Páez",Mantenimiento,Mantenimiento,ES,Estella,Navarra,31200,741453053,florenzop@gmail.com
"Carlos","Collado Juárez",ccolladoj,ccolladoj@polideportivolizarreria.eu,F$eHh52ggZ,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Carlos Collado Juárez","Carlos Collado Juárez",Mantenimiento,Mantenimiento,ES,Estella,Navarra,31200,682308921,ccolladoj@gmail.com
"Silvia","Cantero De Miguel",scanterod,scanterod@polideportivolizarreria.eu,Q5BB&pL7B-,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Silvia Cantero De Miguel","Silvia Cantero De Miguel",Entrenadores,Entrenadores,ES,Estella,Navarra,31200,762109720,scanterod@gmail.com
"Isidro","Porras Castilla",iporrasc,iporrasc@polideportivolizarreria.eu,AyTC#T^8Hj,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Isidro Porras Castilla","Isidro Porras Castilla",Entrenadores,Entrenadores,ES,Estella,Navarra,31200,706186159,iporrasc@gmail.com
"Ander","Marrero Chen",amarreroc,amarreroc@polideportivolizarreria.eu,a-+t8ZzG7t,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Ander Marrero Chen","Ander Marrero Chen",Entrenadores,Entrenadores,ES,Estella,Navarra,31200,633912649,amarreroc@gmail.com
"Cecilia","Montoya Cáceres",cmontoyac,cmontoyac@polideportivolizarreria.eu,35feZTZuj!,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Cecilia Montoya Cáceres","Cecilia Montoya Cáceres",Entrenadores,Entrenadores,ES,Estella,Navarra,31200,616394454,cmontoyac@gmail.com
"Maite","Zapata Ibáñez",mzapatai,mzapatai@polideportivolizarreria.eu,8jjN#yw8&+,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Maite Zapata Ibáñez","Maite Zapata Ibáñez",Entrenadores,Entrenadores,ES,Estella,Navarra,31200,642517520,mzapatai@gmail.com
"Paula","Velasco Andrés",pvelascoa,pvelascoa@polideportivolizarreria.eu,NZCE_6ynkQ,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Paula Velasco Andrés","Paula Velasco Andrés",Entrenadores,Entrenadores,ES,Estella,Navarra,31200,694354991,pvelascoa@gmail.com
"Ramona","Cordero Vidal",rcorderov,rcorderov@polideportivolizarreria.eu,2VhEk48*4h,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Ramona Cordero Vidal","Ramona Cordero Vidal",Personal,Personal,ES,Estella,Navarra,31200,787797729,rcorderov@gmail.com
"Lola","Olivares Llorens",lolivaresl,lolivaresl@polideportivolizarreria.eu,bkNrd2Y%@C,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Lola Olivares Llorens","Lola Olivares Llorens",Personal,Personal,ES,Estella,Navarra,31200,762372658,lolivaresl@gmail.com
"Manuel","Miralles Olmo",mmiralleso,mmiralleso@polideportivolizarreria.eu,yZBR79p?Se,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Manuel Miralles Olmo","Manuel Miralles Olmo",Personal,Personal,ES,Estella,Navarra,31200,642517520,mmiralleso@gmail.com
"Susana","Casto Palma",scastop,scastop@polideportivolizarreria.eu,xq@=92w3Gf,"OU=Polideportivo,DC=polideportivolizarreria,DC=eu","Susana Casto Palma","Susana Casto Palma",Personal,Personal,ES,Estella,Navarra,31200,730950343,scastop@gmail.com
